WISE3_ID,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,CLIM_PRECIPITATION_DATA,CLIM_GDD,CLIM_ARIDITY_INDEX,CLIM_KOPGEIGER,CKIM_FAO_LGP,CLIM_MODIS_evapotrans,clim_precip_novdecjan,clim_precip_febmarapr,clim_precip_mayjunjul,clim_precip_augsepoct,topog_elevation,topog_geolage,topog_slope_global,topog_landform_global,topog_twi_global,topog_topi_global,topog_israd_global,landcover_modis_2012,vegind_modis_evi_m,vegind_modis_evi_sd,WISE3_FAO_74
AL0010,40.3452777778,19.4836111111,1006.0,3563.0,0.9872,127,10,7356.0,152.0,87.0,30.0,66.0,0.0,50,9,6,1140.0,1.479,11634.375,8,3167.0,772.0,Kk
AL0011,41.3777777778,19.7702777778,1213.0,3078.0,1.1915,8,11,4161.0,157.0,113.0,59.0,75.0,63.0,72,2,6,1310.0,1.546,1551.25,12,2986.0,767.0,Lg
AL0012,40.6552777778,20.9588888889,776.0,1850.0,0.776,8,7,4267.0,85.0,64.0,51.0,59.0,852.0,9,2,5,1230.0,1.524,1596.875,12,2369.0,958.0,Lo
AL0013,40.5644444444,20.7325,856.0,1850.0,0.8708,8,7,4433.0,97.0,72.0,51.0,66.0,875.0,45,6,5,1220.0,1.521,1596.875,12,2595.0,792.0,Lo
AL0014,41.6927777778,20.4063888889,1016.0,1900.0,1.0638,8,9,5386.0,117.0,87.0,63.0,72.0,619.0,45,19,5,1000.0,1.503,1642.5,14,3216.0,945.0,Lc
AL0015,41.37,19.7625,1210.0,3078.0,1.1874,8,11,4506.0,157.0,113.0,59.0,74.0,59.0,72,2,6,1310.0,1.548,1551.25,12,2778.0,689.0,Hh
AL0016,40.7216666667,20.7108333333,856.0,1850.0,0.8655,8,7,4396.0,97.0,72.0,52.0,65.0,812.0,9,7,5,1190.0,1.533,1596.875,12,2608.0,1102.0,Hh
AL0017,39.8175,20.0266666667,1282.0,3226.0,1.1436,8,11,5585.0,202.0,117.0,28.0,80.0,-1.0,28,15,6,1240.0,1.539,1551.25,12,3450.0,1280.0,Hg
AL0018,42.0919444444,19.5097222222,1805.0,1374.0,1.7439,8,11,4310.0,239.0,174.0,69.0,119.0,16.0,72,1,6,1250.0,1.549,1551.25,12,3285.0,790.0,Hl
AL0019,40.7155555556,92.4166666667,26.0,2794.0,0.0215,5,2,0.0,1.0,0.0,5.0,2.0,1245.0,6,1,3,1260.0,1.565,1688.125,16,282.0,29.0,Zo
AL0020,40.9858333333,19.6461111111,1029.0,3565.0,0.997,8,11,5056.0,139.0,92.0,46.0,67.0,-1.0,72,1,6,1250.0,1.559,1551.25,8,2974.0,925.0,Vp
AL0021,41.6275,19.9941666667,1228.0,2936.0,1.2194,8,10,5747.0,153.0,113.0,63.0,81.0,216.0,45,7,6,1120.0,1.522,1505.625,14,3529.0,928.0,Vc
AL0022,42.075,20.325,1056.0,1685.0,1.1034,8,7,4187.0,119.0,89.0,65.0,78.0,502.0,37,22,5,890.0,1.508,1460.0,12,2651.0,591.0,Vc
AL0023,40.9508333333,19.6875,1028.0,3565.0,0.9913,8,11,4688.0,138.0,92.0,46.0,67.0,13.0,72,5,6,1230.0,1.559,1551.25,12,2976.0,758.0,Vc
AL0024,42.0008333333,19.5269444444,1693.0,1374.0,1.6549,8,12,5400.0,224.0,162.0,66.0,112.0,10.0,72,1,6,1270.0,1.556,1505.625,12,3836.0,805.0,Bk
AL0025,41.6377777778,19.6836111111,1323.0,2936.0,1.2945,127,11,4727.0,173.0,124.0,58.0,86.0,0.0,72,10,6,1250.0,1.525,1551.25,12,3508.0,962.0,Bk
AL0026,41.1858333333,19.5355555556,1054.0,3078.0,1.0425,127,11,5031.0,140.0,95.0,46.0,70.0,8.0,72,1,6,1290.0,1.559,1505.625,12,3183.0,836.0,Bv
AL0027,42.0080555556,19.4602777778,1690.0,2920.0,1.6542,8,12,6135.0,224.0,162.0,65.0,113.0,6.0,72,0,6,1280.0,1.558,1505.625,12,3207.0,1056.0,Je
AL0028,40.88,20.7013888889,863.0,1850.0,0.8578,8,7,4102.0,99.0,73.0,53.0,63.0,695.0,45,9,5,1070.0,1.502,1551.25,12,3105.0,882.0,Lg
AL0029,40.7644444444,19.9413888889,1024.0,3565.0,0.9606,8,11,4604.0,137.0,91.0,47.0,67.0,43.0,50,8,6,1180.0,1.53,1551.25,12,3190.0,642.0,Lo
AL0030,40.6611111111,20.8161111111,815.0,1850.0,0.824,8,7,4305.0,90.0,68.0,51.0,63.0,855.0,45,8,5,1170.0,1.52,1551.25,12,2433.0,966.0,Lo
AL0031,40.7308333333,19.7083333333,1010.0,3565.0,0.9712,8,10,4564.0,141.0,89.0,43.0,66.0,20.0,45,3,6,1210.0,1.554,1551.25,12,3177.0,839.0,Lo
AL0032,41.0647222222,20.6305555556,896.0,1832.0,0.9135,8,8,4284.0,102.0,77.0,55.0,64.0,731.0,37,22,5,940.0,1.519,1596.875,12,2510.0,603.0,Lv
AL0033,41.7241666667,19.6827777778,1380.0,2936.0,1.3502,127,12,4783.0,180.0,130.0,59.0,90.0,-1.0,72,2,6,1210.0,1.524,1505.625,12,3415.0,978.0,Hh
AL0034,40.6163888889,19.4636111111,972.0,3538.0,0.9529,127,10,4893.0,142.0,84.0,34.0,64.0,2.0,72,0,6,1280.0,1.563,1505.625,12,3406.0,843.0,Zo
AL0035,41.0647222222,20.6377777778,892.0,1832.0,0.8946,8,8,4423.0,102.0,76.0,55.0,64.0,696.0,37,4,5,1010.0,1.517,1596.875,12,2452.0,687.0,Vc
AM0001,40.4833333333,44.75,495.0,1739.0,0.5568,24,6,4976.0,23.0,37.0,69.0,36.0,1776.0,91,10,3,1060.0,1.547,1733.75,12,1774.0,1632.0,Ck
AM0002,40.1666666667,44.5166666667,313.0,1739.0,0.2684,7,6,0.0,22.0,30.0,34.0,19.0,970.0,91,12,3,1250.0,1.538,1688.125,13,1241.0,380.0,Bk
AM0003,40.9,45.1,552.0,1734.0,0.5693,24,7,5795.0,22.0,40.0,72.0,39.0,1160.0,28,55,5,770.0,1.455,1186.25,4,3441.0,1845.0,Bk
AM0004,40.7666666667,44.8666666667,567.0,1447.0,0.6196,24,6,7086.0,23.0,42.0,80.0,41.0,1492.0,50,31,3,980.0,1.471,1779.375,5,3316.0,1470.0,Be
AM0005,40.2833333333,44.6,385.0,1739.0,0.372,24,6,3675.0,21.0,33.0,52.0,27.0,1328.0,91,7,3,1230.0,1.545,1733.75,10,1934.0,799.0,Kk
AM0006,40.75,44.9166666667,563.0,1447.0,0.611,24,6,6472.0,24.0,42.0,81.0,42.0,1455.0,50,60,3,720.0,1.478,1460.0,4,2968.0,1799.0,Hh
AN0001,17.645,-63.2369444444,1069.0,-32768.0,0.8664,127,9,11161.0,97.0,53.0,67.0,139.0,168.0,72,92,6,530.0,1.561,1003.75,11,3093.0,612.0,Ao
AN0002,17.6458333333,-63.2358333333,1069.0,-32768.0,0.8664,127,9,11161.0,97.0,53.0,67.0,139.0,168.0,72,92,6,530.0,1.561,1003.75,11,3093.0,612.0,Th
AO0001,-11.0,15.0,1076.0,5097.0,0.6888,10,7,9350.0,149.0,138.0,10.0,66.0,1201.0,67,3,5,1200.0,1.554,1642.5,9,3311.0,1420.0,Af
AO0002,-13.0,23.0,1115.0,6081.0,0.5595,10,8,5015.0,202.0,145.0,2.0,23.0,1083.0,9,0,2,1290.0,1.564,1642.5,9,2678.0,875.0,Qa
AO0003,-12.75,23.0,1198.0,5692.0,0.6293,10,8,6684.0,213.0,156.0,2.0,27.0,1244.0,67,2,2,1210.0,1.562,1688.125,8,3167.0,1028.0,Qf
AO0004,-12.5,15.5,1299.0,5103.0,0.8089,11,7,8551.0,212.0,173.0,5.0,46.0,1618.0,67,7,3,1160.0,1.546,1688.125,8,3417.0,890.0,Fr
AO0005,-13.5,15.0,1213.0,5183.0,0.7543,11,6,7611.0,179.0,187.0,3.0,37.0,1611.0,67,3,3,1150.0,1.565,1733.75,8,2780.0,541.0,Fh
AO0006,-16.5,14.1666666667,505.0,5295.0,0.2893,6,5,2873.0,77.0,86.0,0.0,5.0,1254.0,67,1,3,1340.0,1.567,1642.5,9,2370.0,562.0,Yl
AO0007,-15.0,15.0,842.0,5921.0,0.4701,11,5,6818.0,127.0,136.0,0.0,17.0,1346.0,9,2,3,1250.0,1.57,1688.125,9,3579.0,1099.0,Lf
AO0008,-15.75,13.9666666667,645.0,5131.0,0.3787,6,5,4352.0,88.0,118.0,1.0,9.0,1253.0,67,1,3,1350.0,1.566,1688.125,10,2322.0,670.0,Vp
AO0009,-9.0,14.0,672.0,7247.0,0.4576,3,6,7566.0,67.0,141.0,9.0,5.0,67.0,11,1,7,1260.0,1.564,1505.625,5,2350.0,920.0,Ge
AO0010,-10.7833333333,13.7166666667,-32768.0,7207.0,-214748.3647,127,6,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-32768.0,75,4,0,10.0,1.57,11634.375,0,-32767.0,0.0,Qc
AO0011,-10.0,14.0,731.0,6940.0,0.514,3,6,9418.0,79.0,147.0,6.0,11.0,149.0,80,4,7,1200.0,1.566,1505.625,8,3733.0,1384.0,Vp
AO0012,-11.0,15.0,1076.0,5097.0,0.6888,10,7,9350.0,149.0,138.0,10.0,66.0,1201.0,67,3,5,1200.0,1.554,1642.5,9,3311.0,1420.0,Vc
AO0013,-11.0,14.0,454.0,6204.0,0.3137,6,6,8554.0,41.0,99.0,1.0,9.0,23.0,11,7,7,1310.0,1.545,1551.25,9,3162.0,514.0,Vc
AO0014,-10.0,14.0,731.0,6940.0,0.514,3,6,9418.0,79.0,147.0,6.0,11.0,149.0,80,4,7,1200.0,1.566,1505.625,8,3733.0,1384.0,Vp
AO0015,-10.0,13.5,729.0,7125.0,0.5453,6,6,5244.0,73.0,155.0,6.0,9.0,123.0,9,4,7,1250.0,1.568,1551.25,9,2383.0,969.0,Vp
AO0016,-4.83333333333,12.2333333333,1110.0,7338.0,0.7949,3,10,11745.0,152.0,173.0,20.0,23.0,99.0,9,5,7,1240.0,1.566,1551.25,2,3682.0,1169.0,Af
AO0017,-10.7333333333,14.8166666667,1092.0,5310.0,0.7139,10,8,9206.0,149.0,134.0,11.0,70.0,1226.0,67,6,5,1160.0,1.554,1642.5,8,3303.0,1232.0,Af
AO0018,-10.0166666667,17.6333333333,1282.0,5755.0,0.7603,3,9,7399.0,188.0,170.0,8.0,61.0,1221.0,35,8,5,1140.0,1.559,1688.125,8,3748.0,1297.0,Af
AO0019,-6.36666666667,12.6833333333,855.0,7380.0,0.5868,6,9,11898.0,101.0,150.0,20.0,13.0,144.0,9,7,7,1130.0,1.563,1505.625,8,4072.0,1059.0,Af
AO0020,-9.5,16.2666666667,1121.0,5750.0,0.6359,3,9,8049.0,150.0,158.0,8.0,58.0,1124.0,67,7,5,1160.0,1.561,1596.875,14,3018.0,934.0,Af
AO0021,-12.9833333333,14.65,1335.0,5050.0,0.8225,11,6,6865.0,189.0,202.0,4.0,49.0,1267.0,67,4,5,1160.0,1.544,1688.125,9,2727.0,871.0,Ap
AO0022,-11.9666666667,14.95,1163.0,5067.0,0.7331,11,7,8588.0,164.0,168.0,7.0,43.0,1878.0,67,14,3,1040.0,1.565,1733.75,8,3142.0,1173.0,Fa
AO0023,-11.65,16.6,1389.0,5109.0,0.8802,11,7,8106.0,223.0,178.0,7.0,54.0,1735.0,37,1,3,1060.0,1.566,1733.75,8,3170.0,989.0,Fa
AO0024,-13.4166666667,14.7666666667,1250.0,5289.0,0.8074,11,6,8420.0,178.0,193.0,3.0,42.0,1800.0,67,4,3,1080.0,1.559,1733.75,9,3193.0,1407.0,Fa
AO0025,-12.65,23.2333333333,1219.0,5692.0,0.6456,10,8,7065.0,218.0,159.0,2.0,28.0,1257.0,67,8,2,1200.0,1.551,1642.5,8,3287.0,1081.0,Fo
AO0026,-13.0666666667,14.25,1158.0,5793.0,0.719,11,6,7214.0,161.0,190.0,3.0,32.0,899.0,67,1,5,1270.0,1.563,1596.875,9,2949.0,845.0,Fo
AO0027,-6.85,15.2833333333,1277.0,6110.0,0.7976,3,10,11163.0,169.0,175.0,16.0,63.0,1009.0,11,4,5,1110.0,1.56,1642.5,8,3526.0,912.0,Fo
AO0028,-10.6166666667,15.0166666667,1169.0,5159.0,0.7574,10,9,9427.0,155.0,142.0,12.0,80.0,1372.0,67,10,5,1110.0,1.554,1642.5,8,3529.0,1400.0,Fo
AO0029,-13.3,15.2,1221.0,5040.0,0.7637,11,7,6795.0,186.0,180.0,3.0,37.0,1692.0,67,5,3,1160.0,1.56,1733.75,9,2630.0,660.0,Fo
AO0030,-11.325,15.1,1116.0,5097.0,0.7138,10,7,8006.0,152.0,148.0,9.0,62.0,1287.0,67,8,5,1110.0,1.544,1688.125,8,3016.0,1140.0,Fo
AO0031,-13.5166666667,14.6333333333,1238.0,4982.0,0.7961,11,6,8082.0,173.0,195.0,2.0,43.0,1708.0,67,28,3,890.0,1.529,1825.0,9,3222.0,1077.0,Fp
AO0032,-12.1166666667,23.6333333333,1359.0,5552.0,0.7635,10,8,6059.0,237.0,180.0,3.0,34.0,1391.0,67,10,3,1130.0,1.558,1733.75,8,3466.0,907.0,Fr
AO0033,-10.6166666667,15.7333333333,1195.0,4977.0,0.751,10,9,8990.0,167.0,154.0,9.0,69.0,1381.0,67,4,3,1170.0,1.557,1688.125,8,3456.0,1503.0,Fr
AO0034,-7.55,15.8166666667,1347.0,5735.0,0.8061,3,9,9128.0,186.0,179.0,16.0,66.0,1057.0,9,4,5,1160.0,1.562,1642.5,8,3315.0,1134.0,Fr
AO0035,-13.5333333333,14.6166666667,1234.0,4982.0,0.7796,11,6,7912.0,172.0,195.0,2.0,42.0,1566.0,67,20,3,980.0,1.535,1779.375,9,3052.0,1198.0,Fh
AO0036,-12.1666666667,15.9666666667,1305.0,5253.0,0.819,11,7,7835.0,211.0,165.0,6.0,49.0,1617.0,37,21,3,1060.0,1.553,1779.375,8,3131.0,1102.0,Nh
AQ0001,-77.3311111111,161.600555556,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,1,5,880.0,1.326,1551.25,15,-32767.0,0.0,Zo
AQ0002,-77.0066666667,162.5175,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,29,6,10.0,1.471,11634.375,0,-32767.0,0.0,Rx
AQ0003,-77.5466666667,160.290277778,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,6,3,990.0,1.482,1916.25,15,-32767.0,0.0,Zo
AQ0004,-77.5466666667,160.290277778,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,6,3,990.0,1.482,1916.25,15,-32767.0,0.0,Zo
AQ0005,-77.8486111111,160.601666667,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,4,3,780.0,1.324,1596.875,15,-32767.0,0.0,Zo
AQ0006,-77.8480555556,166.762222222,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,15,6,1170.0,1.52,1596.875,0,-32767.0,0.0,Zo
AQ0007,-77.42,163.686944444,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,5,6,1010.0,1.553,1642.5,15,-32767.0,0.0,Rx
AQ0008,-77.4861111111,163.681944444,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,14,6,880.0,1.584,1733.75,15,-32767.0,0.0,Zo
AQ0009,-77.535,161.866111111,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,38,5,940.0,1.36,1505.625,15,-32767.0,0.0,Zo
AQ0010,-78.5116666667,166.766111111,-999,-32768.0,-999,29,0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-999,0,13,6,1400.0,1.532,1505.625,15,-32767.0,0.0,Rx
AR0001,-36.7,-65.2833333333,540.0,4035.0,0.3686,7,4,2880.0,70.0,58.0,17.0,36.0,270.0,80,5,7,1280.0,1.56,1551.25,7,2260.0,493.0,Qc
AR0002,-37.05,-65.1666666667,504.0,3980.0,0.3524,7,4,3115.0,61.0,54.0,17.0,36.0,356.0,72,3,7,1300.0,1.565,1551.25,7,2351.0,708.0,Qc
AR0003,-39.3166666667,-66.2666666667,310.0,3937.0,0.2204,5,3,1371.0,26.0,28.0,23.0,26.0,255.0,72,0,7,1380.0,1.57,1551.25,7,1141.0,162.0,Qc
AR0004,-38.7833333333,-63.7666666667,403.0,4005.0,0.2963,7,4,2388.0,37.0,43.0,21.0,34.0,100.0,72,0,7,1430.0,1.57,1551.25,7,2468.0,875.0,Kk
AR0005,-35.2666666667,-64.8666666667,580.0,4424.0,0.3869,13,5,4028.0,76.0,62.0,18.0,37.0,287.0,72,1,7,1360.0,1.569,1551.25,10,2708.0,564.0,Kh
AR0006,-35.7666666667,-64.85,599.0,4305.0,0.4047,13,5,3281.0,80.0,64.0,19.0,38.0,261.0,72,1,7,1350.0,1.568,1551.25,10,2373.0,668.0,Kh
AR0007,-35.4666666667,-64.1833333333,645.0,4462.0,0.4414,13,6,3354.0,80.0,71.0,22.0,43.0,166.0,72,1,4,1400.0,1.568,1551.25,12,2765.0,855.0,Kh
AR0008,-35.8,-64.1666666667,652.0,4342.0,0.452,13,6,3312.0,81.0,71.0,23.0,43.0,181.0,72,0,4,1390.0,1.57,1551.25,10,2599.0,377.0,Kh
AR0009,-35.7,-65.1,573.0,4195.0,0.3832,13,5,3247.0,77.0,61.0,18.0,36.0,314.0,72,0,7,1380.0,1.57,1551.25,10,2461.0,717.0,Kh
AR0010,-38.05,-63.5166666667,537.0,3960.0,0.3931,13,5,2056.0,53.0,59.0,24.0,43.0,164.0,72,0,7,1300.0,1.568,1551.25,7,1959.0,540.0,Kk
AR0011,-37.85,-58.2666666667,822.0,3389.0,0.6804,14,11,0.0,73.0,82.0,60.0,59.0,116.0,72,2,7,1380.0,1.563,1551.25,13,2189.0,410.0,E
AR0012,-33.7541666667,-60.8083333333,932.0,4499.0,0.6748,13,12,4687.0,101.0,101.0,42.0,67.0,80.0,72,0,1,1390.0,1.57,1551.25,12,3891.0,952.0,Hg
AR0013,-34.8966666667,-60.425,977.0,4363.0,0.7079,13,13,4828.0,104.0,107.0,48.0,67.0,59.0,72,0,1,1410.0,1.57,1551.25,12,3904.0,1514.0,Hh
AR0015,-35.1833333333,-63.8166666667,674.0,4434.0,0.4635,13,6,4286.0,82.0,76.0,23.0,44.0,141.0,72,0,4,1430.0,1.57,1551.25,12,3376.0,1505.0,Hh
AR0016,-34.2263888889,-60.8222222222,954.0,4398.0,0.6933,13,12,5553.0,105.0,103.0,44.0,67.0,77.0,72,0,1,1390.0,1.57,1551.25,12,3360.0,1443.0,Hl
AR0017,-33.8958333333,-60.3361111111,957.0,4570.0,0.6944,13,12,4516.0,99.0,99.0,49.0,71.0,73.0,72,0,1,1380.0,1.57,1551.25,12,3548.0,1221.0,Hl
AR0018,-33.9666666667,-59.3763888889,1014.0,4614.0,0.745,13,13,4449.0,99.0,100.0,66.0,73.0,16.0,72,1,1,1400.0,1.569,1505.625,12,3162.0,943.0,Hl
AR0019,-33.6805555556,-60.0527777778,960.0,4570.0,0.6981,13,12,5562.0,98.0,99.0,52.0,70.0,50.0,72,0,1,1390.0,1.57,1505.625,12,3629.0,1637.0,Hl
AR0020,-37.85,-58.2666666667,822.0,3389.0,0.6804,14,11,0.0,73.0,82.0,60.0,59.0,116.0,72,2,7,1380.0,1.563,1551.25,13,2189.0,410.0,Hl
AR0021,-37.85,-58.2666666667,822.0,3389.0,0.6804,14,11,0.0,73.0,82.0,60.0,59.0,116.0,72,2,7,1380.0,1.563,1551.25,13,2189.0,410.0,Hl
AR0022,-33.9694444444,-59.5319444444,1016.0,4581.0,0.7432,13,13,4215.0,100.0,100.0,65.0,73.0,28.0,72,1,1,1380.0,1.569,1505.625,12,3404.0,1375.0,Hl
AR0023,-34.0783333333,-59.7847222222,1005.0,4478.0,0.7261,13,12,4294.0,101.0,101.0,61.0,73.0,41.0,72,1,1,1370.0,1.57,1551.25,12,3195.0,1284.0,Hl
AR0024,-34.1027777778,-60.4166666667,961.0,4447.0,0.6968,13,12,3748.0,101.0,101.0,49.0,70.0,75.0,72,0,1,1380.0,1.57,1551.25,13,3412.0,750.0,Hl
AR0025,-33.8638888889,-60.6680555556,942.0,4499.0,0.6826,13,12,4298.0,101.0,99.0,43.0,71.0,75.0,72,0,1,1380.0,1.57,1551.25,12,3417.0,1452.0,Hl
AR0026,-33.9513888889,-60.5541666667,951.0,4499.0,0.6884,13,12,4370.0,100.0,100.0,46.0,71.0,62.0,72,1,1,1360.0,1.568,1505.625,12,3822.0,958.0,Wm
AR0027,-34.9755555556,-59.1252777778,1032.0,4414.0,0.7532,13,12,5098.0,100.0,98.0,73.0,72.0,36.0,72,0,1,1410.0,1.57,1551.25,12,3970.0,992.0,Wm
AR0028,-35.0,-58.45,981.0,4239.0,0.7804,13,12,4722.0,94.0,95.0,67.0,71.0,23.0,72,0,1,1400.0,1.57,1505.625,12,3638.0,632.0,Wm
AR0029,-31.5,-58.1666666667,1234.0,5057.0,0.8434,13,13,4805.0,114.0,127.0,80.0,92.0,31.0,72,1,1,1310.0,1.567,1551.25,10,3914.0,649.0,Wm
AR0030,-38.6,-64.8833333333,345.0,4095.0,0.2457,7,4,2267.0,32.0,34.0,18.0,31.0,221.0,72,2,7,1260.0,1.567,1551.25,7,2715.0,1488.0,Rc
AR0031,-37.2833333333,-65.45,459.0,3980.0,0.3187,7,4,2289.0,54.0,49.0,16.0,35.0,352.0,72,1,7,1360.0,1.568,1551.25,7,1914.0,310.0,Rc
AR0032,-36.3333333333,-66.0333333333,519.0,4111.0,0.3428,7,4,2392.0,67.0,56.0,17.0,33.0,331.0,72,0,7,1460.0,1.569,1551.25,7,2088.0,295.0,Re
AR0033,-38.6166666667,-65.15,327.0,4087.0,0.2291,7,4,1578.0,30.0,32.0,17.0,30.0,162.0,72,1,7,1320.0,1.565,1551.25,7,1662.0,324.0,Zo
AR0034,-37.75,-65.8166666667,382.0,4054.0,0.262,7,4,1696.0,42.0,39.0,15.0,32.0,245.0,72,4,7,1420.0,1.567,1551.25,7,1898.0,460.0,Yh
AR0035,-36.2666666667,-58.5333333333,929.0,3910.0,0.7201,14,12,4963.0,92.0,88.0,61.0,68.0,25.0,72,0,1,1420.0,1.57,1505.625,10,3316.0,928.0,Sg
AR0036,-36.2666666667,-58.5333333333,929.0,3910.0,0.7201,14,12,4963.0,92.0,88.0,61.0,68.0,25.0,72,0,1,1420.0,1.57,1505.625,10,3316.0,928.0,Sg
AR0037,-36.2666666667,-58.5333333333,929.0,3910.0,0.7201,14,12,4963.0,92.0,88.0,61.0,68.0,25.0,72,0,1,1420.0,1.57,1505.625,10,3316.0,928.0,Sg
AR0038,-33.6347222222,-60.4583333333,935.0,4570.0,0.675,13,12,4104.0,98.0,99.0,45.0,69.0,45.0,72,1,1,1360.0,1.568,1505.625,12,3691.0,1381.0,Sg
AR0039,-33.7930555556,-60.2833333333,951.0,4570.0,0.6876,13,12,3958.0,98.0,99.0,49.0,70.0,53.0,72,0,1,1370.0,1.568,1505.625,10,3205.0,438.0,Sg
AR0040,-33.2694444444,-60.85,933.0,4625.0,0.67,13,11,4108.0,101.0,106.0,42.0,62.0,62.0,72,1,1,1380.0,1.568,1551.25,12,3582.0,542.0,Sg
AR0042,-36.2666666667,-58.5333333333,929.0,3910.0,0.7201,14,12,4963.0,92.0,88.0,61.0,68.0,25.0,72,0,1,1420.0,1.57,1505.625,10,3316.0,928.0,Sg
AR0044,-33.5583333333,-60.8166666667,928.0,4499.0,0.6695,13,12,3920.0,100.0,102.0,42.0,65.0,67.0,72,0,1,1370.0,1.568,1551.25,12,3113.0,546.0,Sm
AR0045,-37.85,-58.25,820.0,3389.0,0.679,14,11,0.0,72.0,82.0,60.0,59.0,119.0,72,2,4,1380.0,1.561,1505.625,13,2771.0,462.0,Ws
AR0046,-39.4166666667,-62.75,413.0,3900.0,0.3159,7,4,3576.0,31.0,46.0,27.0,34.0,18.0,72,0,7,1490.0,1.569,1505.625,10,2834.0,605.0,Hc
AR0047,-34.55,-64.3833333333,674.0,4533.0,0.4526,13,6,4939.0,90.0,73.0,20.0,42.0,198.0,72,1,4,1450.0,1.57,1551.25,12,2975.0,1108.0,Re
